"","Total Hosts","No contaminated","Total Hosts(repeated)","No infected","Eggs Amt","Eggs Amt Infected","No Colonized","Faeces Amt","Faeces Amt Infected","TimeUnit","Zone","variable","value"
"1",2000,0,2000,187,70,6,187,488,42,1,"Zone 0","%Contaminated",0
"2",0,0,0,0,0,0,0,0,0,1,"Zone 1","%Contaminated",0
"3",0,0,0,0,0,0,0,0,0,1,"Zone 2","%Contaminated",0
"4",0,0,0,0,0,0,0,0,0,1,"Zone 3","%Contaminated",0
"5",1,0,1,0,1,0,0,1,0,1,"Collection Zone","%Contaminated",0
"6",2000,6,2000,186,143,10,186,998,80,2,"Zone 0","%Contaminated",0.299850074962519
"7",0,0,0,0,0,0,0,0,0,2,"Zone 1","%Contaminated",0
"8",0,0,0,0,0,0,0,0,0,2,"Zone 2","%Contaminated",0
"9",0,0,0,0,0,0,0,0,0,2,"Zone 3","%Contaminated",0
"10",1,0,1,0,1,0,0,1,0,2,"Collection Zone","%Contaminated",0
"11",0,0,0,0,143,10,0,998,80,3,"Zone 0","%Contaminated",0
"12",2000,6,2000,184,55,4,184,502,37,3,"Zone 1","%Contaminated",0.299850074962519
"13",0,0,0,0,0,0,0,0,0,3,"Zone 2","%Contaminated",0
"14",0,0,0,0,0,0,0,0,0,3,"Zone 3","%Contaminated",0
"15",1,0,1,0,1,0,0,1,0,3,"Collection Zone","%Contaminated",0
"16",0,0,0,0,143,10,0,998,80,4,"Zone 0","%Contaminated",0
"17",2000,32,2000,184,122,7,183,1009,79,4,"Zone 1","%Contaminated",1.5992003998001
"18",0,0,0,0,0,0,0,0,0,4,"Zone 2","%Contaminated",0
"19",0,0,0,0,0,0,0,0,0,4,"Zone 3","%Contaminated",0
"20",1,0,1,0,1,0,0,1,0,4,"Collection Zone","%Contaminated",0
"21",0,0,0,0,143,10,0,998,80,5,"Zone 0","%Contaminated",0
"22",2000,67,2000,184,198,10,182,1513,128,5,"Zone 1","%Contaminated",3.34832583708146
"23",0,0,0,0,0,0,0,0,0,5,"Zone 2","%Contaminated",0
"24",0,0,0,0,0,0,0,0,0,5,"Zone 3","%Contaminated",0
"25",1,0,1,0,1,0,0,1,0,5,"Collection Zone","%Contaminated",0
"26",0,0,0,0,143,10,0,998,80,6,"Zone 0","%Contaminated",0
"27",2000,96,2000,186,261,14,182,1987,170,6,"Zone 1","%Contaminated",4.7976011994003
"28",0,0,0,0,0,0,0,0,0,6,"Zone 2","%Contaminated",0
"29",0,0,0,0,0,0,0,0,0,6,"Zone 3","%Contaminated",0
"30",1,0,1,0,1,0,0,1,0,6,"Collection Zone","%Contaminated",0
"31",0,0,0,0,143,10,0,998,80,7,"Zone 0","%Contaminated",0
"32",2000,135,2000,189,334,20,180,2513,236,7,"Zone 1","%Contaminated",6.74662668665667
"33",0,0,0,0,0,0,0,0,0,7,"Zone 2","%Contaminated",0
"34",0,0,0,0,0,0,0,0,0,7,"Zone 3","%Contaminated",0
"35",1,0,1,0,1,0,0,1,0,7,"Collection Zone","%Contaminated",0
"36",0,0,0,0,143,10,0,998,80,8,"Zone 0","%Contaminated",0
"37",2000,171,2000,190,396,23,178,3007,284,8,"Zone 1","%Contaminated",8.54572713643178
"38",0,0,0,0,0,0,0,0,0,8,"Zone 2","%Contaminated",0
"39",0,0,0,0,0,0,0,0,0,8,"Zone 3","%Contaminated",0
"40",1,0,1,0,1,0,0,1,0,8,"Collection Zone","%Contaminated",0
"41",0,0,0,0,143,10,0,998,80,9,"Zone 0","%Contaminated",0
"42",2000,187,2000,196,479,28,176,3494,337,9,"Zone 1","%Contaminated",9.34532733633183
"43",0,0,0,0,0,0,0,0,0,9,"Zone 2","%Contaminated",0
"44",0,0,0,0,0,0,0,0,0,9,"Zone 3","%Contaminated",0
"45",1,0,1,0,1,0,0,1,0,9,"Collection Zone","%Contaminated",0
"46",0,0,0,0,143,10,0,998,80,10,"Zone 0","%Contaminated",0
"47",2000,212,2000,199,547,34,174,4023,395,10,"Zone 1","%Contaminated",10.5947026486757
"48",0,0,0,0,0,0,0,0,0,10,"Zone 2","%Contaminated",0
"49",0,0,0,0,0,0,0,0,0,10,"Zone 3","%Contaminated",0
"50",1,0,1,0,1,0,0,1,0,10,"Collection Zone","%Contaminated",0
"51",0,0,0,0,143,10,0,998,80,11,"Zone 0","%Contaminated",0
"52",2000,232,2000,200,616,34,173,4524,445,11,"Zone 1","%Contaminated",11.5942028985507
"53",0,0,0,0,0,0,0,0,0,11,"Zone 2","%Contaminated",0
"54",0,0,0,0,0,0,0,0,0,11,"Zone 3","%Contaminated",0
"55",1,0,1,0,1,0,0,1,0,11,"Collection Zone","%Contaminated",0
"56",0,0,0,0,143,10,0,998,80,12,"Zone 0","%Contaminated",0
"57",2000,252,2000,207,675,40,173,5015,499,12,"Zone 1","%Contaminated",12.5937031484258
"58",0,0,0,0,0,0,0,0,0,12,"Zone 2","%Contaminated",0
"59",0,0,0,0,0,0,0,0,0,12,"Zone 3","%Contaminated",0
"60",1,0,1,0,1,0,0,1,0,12,"Collection Zone","%Contaminated",0
"61",0,0,0,0,143,10,0,0,0,13,"Zone 0","%Contaminated",0
"62",2000,260,2000,205,744,39,171,483,43,13,"Zone 1","%Contaminated",12.9935032483758
"63",0,0,0,0,0,0,0,0,0,13,"Zone 2","%Contaminated",0
"64",0,0,0,0,0,0,0,0,0,13,"Zone 3","%Contaminated",0
"65",1,0,1,0,1,0,0,6014,579,13,"Collection Zone","%Contaminated",0
"66",0,0,0,0,143,10,0,0,0,14,"Zone 0","%Contaminated",0
"67",0,0,0,0,743,39,0,483,43,14,"Zone 1","%Contaminated",0
"68",2000,266,2000,205,69,4,171,517,53,14,"Zone 2","%Contaminated",13.2933533233383
"69",0,0,0,0,0,0,0,0,0,14,"Zone 3","%Contaminated",0
"70",1,0,1,0,1,0,0,12027,1158,14,"Collection Zone","%Contaminated",0
"71",0,0,0,0,143,10,0,0,0,15,"Zone 0","%Contaminated",0
"72",0,0,0,0,743,39,0,483,43,15,"Zone 1","%Contaminated",0
"73",2000,269,2000,203,134,6,169,1024,107,15,"Zone 2","%Contaminated",13.4432783608196
"74",0,0,0,0,0,0,0,0,0,15,"Zone 3","%Contaminated",0
"75",1,0,1,0,1,0,0,18040,1737,15,"Collection Zone","%Contaminated",0
"76",0,0,0,0,143,10,0,0,0,16,"Zone 0","%Contaminated",0
"77",0,0,0,0,743,39,0,483,43,16,"Zone 1","%Contaminated",0
"78",2000,271,2000,202,186,10,167,1507,157,16,"Zone 2","%Contaminated",13.5432283858071
"79",0,0,0,0,0,0,0,0,0,16,"Zone 3","%Contaminated",0
"80",1,0,1,0,1,0,0,24053,2316,16,"Collection Zone","%Contaminated",0
"81",0,0,0,0,143,10,0,0,0,17,"Zone 0","%Contaminated",0
"82",0,0,0,0,743,39,0,483,43,17,"Zone 1","%Contaminated",0
"83",2000,270,2000,204,270,18,165,1993,194,17,"Zone 2","%Contaminated",13.4932533733133
"84",0,0,0,0,0,0,0,0,0,17,"Zone 3","%Contaminated",0
"85",1,0,1,0,1,0,0,30066,2895,17,"Collection Zone","%Contaminated",0
"86",0,0,0,0,143,10,0,0,0,18,"Zone 0","%Contaminated",0
"87",0,0,0,0,743,39,0,483,43,18,"Zone 1","%Contaminated",0
"88",2000,271,2000,203,349,24,163,2488,246,18,"Zone 2","%Contaminated",13.5432283858071
"89",0,0,0,0,0,0,0,0,0,18,"Zone 3","%Contaminated",0
"90",1,0,1,0,1,0,0,36079,3474,18,"Collection Zone","%Contaminated",0
"91",0,0,0,0,143,10,0,0,0,19,"Zone 0","%Contaminated",0
"92",0,0,0,0,743,39,0,483,43,19,"Zone 1","%Contaminated",0
"93",2000,280,2000,204,416,26,161,3003,303,19,"Zone 2","%Contaminated",13.9930034982509
"94",0,0,0,0,0,0,0,0,0,19,"Zone 3","%Contaminated",0
"95",1,0,1,0,1,0,0,42092,4053,19,"Collection Zone","%Contaminated",0
"96",0,0,0,0,143,10,0,0,0,20,"Zone 0","%Contaminated",0
"97",0,0,0,0,743,39,0,483,43,20,"Zone 1","%Contaminated",0
"98",2000,286,2000,205,472,27,161,3536,351,20,"Zone 2","%Contaminated",14.2928535732134
"99",0,0,0,0,0,0,0,0,0,20,"Zone 3","%Contaminated",0
"100",1,0,1,0,1,0,0,48105,4632,20,"Collection Zone","%Contaminated",0
"101",0,0,0,0,143,10,0,0,0,21,"Zone 0","%Contaminated",0
"102",0,0,0,0,743,39,0,483,43,21,"Zone 1","%Contaminated",0
"103",2000,288,2000,202,522,28,158,4063,398,21,"Zone 2","%Contaminated",14.3928035982009
"104",0,0,0,0,0,0,0,0,0,21,"Zone 3","%Contaminated",0
"105",1,0,1,0,1,0,0,54118,5211,21,"Collection Zone","%Contaminated",0
"106",0,0,0,0,143,10,0,0,0,22,"Zone 0","%Contaminated",0
"107",0,0,0,0,743,39,0,483,43,22,"Zone 1","%Contaminated",0
"108",2000,290,2000,202,574,30,156,4538,443,22,"Zone 2","%Contaminated",14.4927536231884
"109",0,0,0,0,0,0,0,0,0,22,"Zone 3","%Contaminated",0
"110",1,0,1,0,1,0,0,60131,5790,22,"Collection Zone","%Contaminated",0
"111",0,0,0,0,143,10,0,0,0,23,"Zone 0","%Contaminated",0
"112",0,0,0,0,743,39,0,483,43,23,"Zone 1","%Contaminated",0
"113",2000,297,2000,209,625,30,155,5030,483,23,"Zone 2","%Contaminated",14.8425787106447
"114",0,0,0,0,0,0,0,0,0,23,"Zone 3","%Contaminated",0
"115",1,0,1,0,1,0,0,66144,6369,23,"Collection Zone","%Contaminated",0
"116",0,0,0,0,143,10,0,0,0,24,"Zone 0","%Contaminated",0
"117",0,0,0,0,743,39,0,483,43,24,"Zone 1","%Contaminated",0
"118",2000,303,2000,211,685,32,155,5531,525,24,"Zone 2","%Contaminated",15.1424287856072
"119",0,0,0,0,0,0,0,0,0,24,"Zone 3","%Contaminated",0
"120",1,0,1,0,1,0,0,72157,6948,24,"Collection Zone","%Contaminated",0
"121",0,0,0,0,143,10,0,0,0,25,"Zone 0","%Contaminated",0
"122",0,0,0,0,743,39,0,0,0,25,"Zone 1","%Contaminated",0
"123",0,0,0,0,685,32,0,0,0,25,"Zone 2","%Contaminated",0
"124",2000,300,2000,296,72,1,153,474,63,25,"Zone 3","%Contaminated",14.9925037481259
"125",1,0,1,0,1,0,0,78171,7516,25,"Collection Zone","%Contaminated",0
"126",0,0,0,0,143,10,0,0,0,26,"Zone 0","%Contaminated",0
"127",0,0,0,0,743,39,0,0,0,26,"Zone 1","%Contaminated",0
"128",0,0,0,0,685,32,0,0,0,26,"Zone 2","%Contaminated",0
"129",2000,300,2000,296,135,8,153,977,140,26,"Zone 3","%Contaminated",14.9925037481259
"130",1,0,1,0,1,0,0,84185,8084,26,"Collection Zone","%Contaminated",0
"131",0,0,0,0,73,4,0,0,0,27,"Zone 0","%Contaminated",0
"132",0,0,0,0,743,39,0,0,0,27,"Zone 1","%Contaminated",0
"133",0,0,0,0,685,32,0,0,0,27,"Zone 2","%Contaminated",0
"134",2000,300,2000,296,214,14,153,1456,205,27,"Zone 3","%Contaminated",14.9925037481259
"135",1,0,1,0,71,6,0,90199,8652,27,"Collection Zone","%Contaminated",0
"136",0,0,0,0,0,0,0,0,0,28,"Zone 0","%Contaminated",0
"137",0,0,0,0,743,39,0,0,0,28,"Zone 1","%Contaminated",0
"138",0,0,0,0,685,32,0,0,0,28,"Zone 2","%Contaminated",0
"139",0,0,0,0,209,14,0,1456,205,28,"Zone 3","%Contaminated",0
"140",2001,300,2001,296,144,10,153,96213,9220,28,"Collection Zone","%Contaminated",14.9925037481259
"141",0,0,0,0,0,0,0,0,0,29,"Zone 0","%Contaminated",0
"142",0,0,0,0,689,35,0,0,0,29,"Zone 1","%Contaminated",0
"143",0,0,0,0,685,32,0,0,0,29,"Zone 2","%Contaminated",0
"144",0,0,0,0,209,14,0,1456,205,29,"Zone 3","%Contaminated",0
"145",2001,300,2001,296,198,14,153,102227,9788,29,"Collection Zone","%Contaminated",14.9925037481259
"146",0,0,0,0,0,0,0,0,0,30,"Zone 0","%Contaminated",0
"147",0,0,0,0,624,32,0,0,0,30,"Zone 1","%Contaminated",0
"148",0,0,0,0,685,32,0,0,0,30,"Zone 2","%Contaminated",0
"149",0,0,0,0,209,14,0,1456,205,30,"Zone 3","%Contaminated",0
"150",2001,300,2001,296,263,17,153,108241,10356,30,"Collection Zone","%Contaminated",14.9925037481259
"151",0,0,0,0,0,0,0,0,0,31,"Zone 0","%Contaminated",0
"152",0,0,0,0,550,29,0,0,0,31,"Zone 1","%Contaminated",0
"153",0,0,0,0,685,32,0,0,0,31,"Zone 2","%Contaminated",0
"154",0,0,0,0,209,14,0,1456,205,31,"Zone 3","%Contaminated",0
"155",2001,300,2001,296,337,20,153,114255,10924,31,"Collection Zone","%Contaminated",14.9925037481259
"156",0,0,0,0,0,0,0,0,0,32,"Zone 0","%Contaminated",0
"157",0,0,0,0,489,25,0,0,0,32,"Zone 1","%Contaminated",0
"158",0,0,0,0,685,32,0,0,0,32,"Zone 2","%Contaminated",0
"159",0,0,0,0,209,14,0,1456,205,32,"Zone 3","%Contaminated",0
"160",2001,300,2001,296,398,24,153,120269,11492,32,"Collection Zone","%Contaminated",14.9925037481259
"161",0,0,0,0,0,0,0,0,0,33,"Zone 0","%Contaminated",0
"162",0,0,0,0,418,19,0,0,0,33,"Zone 1","%Contaminated",0
"163",0,0,0,0,685,32,0,0,0,33,"Zone 2","%Contaminated",0
"164",0,0,0,0,209,14,0,1456,205,33,"Zone 3","%Contaminated",0
"165",2001,300,2001,296,469,30,153,126283,12060,33,"Collection Zone","%Contaminated",14.9925037481259
"166",2000,0,2000,187,70,6,187,488,42,1,"Zone 0","%Infected",9.34532733633183
"167",0,0,0,0,0,0,0,0,0,1,"Zone 1","%Infected",0
"168",0,0,0,0,0,0,0,0,0,1,"Zone 2","%Infected",0
"169",0,0,0,0,0,0,0,0,0,1,"Zone 3","%Infected",0
"170",1,0,1,0,1,0,0,1,0,1,"Collection Zone","%Infected",0
"171",2000,6,2000,186,143,10,186,998,80,2,"Zone 0","%Infected",9.29535232383808
"172",0,0,0,0,0,0,0,0,0,2,"Zone 1","%Infected",0
"173",0,0,0,0,0,0,0,0,0,2,"Zone 2","%Infected",0
"174",0,0,0,0,0,0,0,0,0,2,"Zone 3","%Infected",0
"175",1,0,1,0,1,0,0,1,0,2,"Collection Zone","%Infected",0
"176",0,0,0,0,143,10,0,998,80,3,"Zone 0","%Infected",0
"177",2000,6,2000,184,55,4,184,502,37,3,"Zone 1","%Infected",9.19540229885057
"178",0,0,0,0,0,0,0,0,0,3,"Zone 2","%Infected",0
"179",0,0,0,0,0,0,0,0,0,3,"Zone 3","%Infected",0
"180",1,0,1,0,1,0,0,1,0,3,"Collection Zone","%Infected",0
"181",0,0,0,0,143,10,0,998,80,4,"Zone 0","%Infected",0
"182",2000,32,2000,184,122,7,183,1009,79,4,"Zone 1","%Infected",9.19540229885057
"183",0,0,0,0,0,0,0,0,0,4,"Zone 2","%Infected",0
"184",0,0,0,0,0,0,0,0,0,4,"Zone 3","%Infected",0
"185",1,0,1,0,1,0,0,1,0,4,"Collection Zone","%Infected",0
"186",0,0,0,0,143,10,0,998,80,5,"Zone 0","%Infected",0
"187",2000,67,2000,184,198,10,182,1513,128,5,"Zone 1","%Infected",9.19540229885057
"188",0,0,0,0,0,0,0,0,0,5,"Zone 2","%Infected",0
"189",0,0,0,0,0,0,0,0,0,5,"Zone 3","%Infected",0
"190",1,0,1,0,1,0,0,1,0,5,"Collection Zone","%Infected",0
"191",0,0,0,0,143,10,0,998,80,6,"Zone 0","%Infected",0
"192",2000,96,2000,186,261,14,182,1987,170,6,"Zone 1","%Infected",9.29535232383808
"193",0,0,0,0,0,0,0,0,0,6,"Zone 2","%Infected",0
"194",0,0,0,0,0,0,0,0,0,6,"Zone 3","%Infected",0
"195",1,0,1,0,1,0,0,1,0,6,"Collection Zone","%Infected",0
"196",0,0,0,0,143,10,0,998,80,7,"Zone 0","%Infected",0
"197",2000,135,2000,189,334,20,180,2513,236,7,"Zone 1","%Infected",9.44527736131934
"198",0,0,0,0,0,0,0,0,0,7,"Zone 2","%Infected",0
"199",0,0,0,0,0,0,0,0,0,7,"Zone 3","%Infected",0
"200",1,0,1,0,1,0,0,1,0,7,"Collection Zone","%Infected",0
"201",0,0,0,0,143,10,0,998,80,8,"Zone 0","%Infected",0
"202",2000,171,2000,190,396,23,178,3007,284,8,"Zone 1","%Infected",9.49525237381309
"203",0,0,0,0,0,0,0,0,0,8,"Zone 2","%Infected",0
"204",0,0,0,0,0,0,0,0,0,8,"Zone 3","%Infected",0
"205",1,0,1,0,1,0,0,1,0,8,"Collection Zone","%Infected",0
"206",0,0,0,0,143,10,0,998,80,9,"Zone 0","%Infected",0
"207",2000,187,2000,196,479,28,176,3494,337,9,"Zone 1","%Infected",9.79510244877561
"208",0,0,0,0,0,0,0,0,0,9,"Zone 2","%Infected",0
"209",0,0,0,0,0,0,0,0,0,9,"Zone 3","%Infected",0
"210",1,0,1,0,1,0,0,1,0,9,"Collection Zone","%Infected",0
"211",0,0,0,0,143,10,0,998,80,10,"Zone 0","%Infected",0
"212",2000,212,2000,199,547,34,174,4023,395,10,"Zone 1","%Infected",9.94502748625687
"213",0,0,0,0,0,0,0,0,0,10,"Zone 2","%Infected",0
"214",0,0,0,0,0,0,0,0,0,10,"Zone 3","%Infected",0
"215",1,0,1,0,1,0,0,1,0,10,"Collection Zone","%Infected",0
"216",0,0,0,0,143,10,0,998,80,11,"Zone 0","%Infected",0
"217",2000,232,2000,200,616,34,173,4524,445,11,"Zone 1","%Infected",9.99500249875062
"218",0,0,0,0,0,0,0,0,0,11,"Zone 2","%Infected",0
"219",0,0,0,0,0,0,0,0,0,11,"Zone 3","%Infected",0
"220",1,0,1,0,1,0,0,1,0,11,"Collection Zone","%Infected",0
"221",0,0,0,0,143,10,0,998,80,12,"Zone 0","%Infected",0
"222",2000,252,2000,207,675,40,173,5015,499,12,"Zone 1","%Infected",10.3448275862069
"223",0,0,0,0,0,0,0,0,0,12,"Zone 2","%Infected",0
"224",0,0,0,0,0,0,0,0,0,12,"Zone 3","%Infected",0
"225",1,0,1,0,1,0,0,1,0,12,"Collection Zone","%Infected",0
"226",0,0,0,0,143,10,0,0,0,13,"Zone 0","%Infected",0
"227",2000,260,2000,205,744,39,171,483,43,13,"Zone 1","%Infected",10.2448775612194
"228",0,0,0,0,0,0,0,0,0,13,"Zone 2","%Infected",0
"229",0,0,0,0,0,0,0,0,0,13,"Zone 3","%Infected",0
"230",1,0,1,0,1,0,0,6014,579,13,"Collection Zone","%Infected",0
"231",0,0,0,0,143,10,0,0,0,14,"Zone 0","%Infected",0
"232",0,0,0,0,743,39,0,483,43,14,"Zone 1","%Infected",0
"233",2000,266,2000,205,69,4,171,517,53,14,"Zone 2","%Infected",10.2448775612194
"234",0,0,0,0,0,0,0,0,0,14,"Zone 3","%Infected",0
"235",1,0,1,0,1,0,0,12027,1158,14,"Collection Zone","%Infected",0
"236",0,0,0,0,143,10,0,0,0,15,"Zone 0","%Infected",0
"237",0,0,0,0,743,39,0,483,43,15,"Zone 1","%Infected",0
"238",2000,269,2000,203,134,6,169,1024,107,15,"Zone 2","%Infected",10.1449275362319
"239",0,0,0,0,0,0,0,0,0,15,"Zone 3","%Infected",0
"240",1,0,1,0,1,0,0,18040,1737,15,"Collection Zone","%Infected",0
"241",0,0,0,0,143,10,0,0,0,16,"Zone 0","%Infected",0
"242",0,0,0,0,743,39,0,483,43,16,"Zone 1","%Infected",0
"243",2000,271,2000,202,186,10,167,1507,157,16,"Zone 2","%Infected",10.0949525237381
"244",0,0,0,0,0,0,0,0,0,16,"Zone 3","%Infected",0
"245",1,0,1,0,1,0,0,24053,2316,16,"Collection Zone","%Infected",0
"246",0,0,0,0,143,10,0,0,0,17,"Zone 0","%Infected",0
"247",0,0,0,0,743,39,0,483,43,17,"Zone 1","%Infected",0
"248",2000,270,2000,204,270,18,165,1993,194,17,"Zone 2","%Infected",10.1949025487256
"249",0,0,0,0,0,0,0,0,0,17,"Zone 3","%Infected",0
"250",1,0,1,0,1,0,0,30066,2895,17,"Collection Zone","%Infected",0
"251",0,0,0,0,143,10,0,0,0,18,"Zone 0","%Infected",0
"252",0,0,0,0,743,39,0,483,43,18,"Zone 1","%Infected",0
"253",2000,271,2000,203,349,24,163,2488,246,18,"Zone 2","%Infected",10.1449275362319
"254",0,0,0,0,0,0,0,0,0,18,"Zone 3","%Infected",0
"255",1,0,1,0,1,0,0,36079,3474,18,"Collection Zone","%Infected",0
"256",0,0,0,0,143,10,0,0,0,19,"Zone 0","%Infected",0
"257",0,0,0,0,743,39,0,483,43,19,"Zone 1","%Infected",0
"258",2000,280,2000,204,416,26,161,3003,303,19,"Zone 2","%Infected",10.1949025487256
"259",0,0,0,0,0,0,0,0,0,19,"Zone 3","%Infected",0
"260",1,0,1,0,1,0,0,42092,4053,19,"Collection Zone","%Infected",0
"261",0,0,0,0,143,10,0,0,0,20,"Zone 0","%Infected",0
"262",0,0,0,0,743,39,0,483,43,20,"Zone 1","%Infected",0
"263",2000,286,2000,205,472,27,161,3536,351,20,"Zone 2","%Infected",10.2448775612194
"264",0,0,0,0,0,0,0,0,0,20,"Zone 3","%Infected",0
"265",1,0,1,0,1,0,0,48105,4632,20,"Collection Zone","%Infected",0
"266",0,0,0,0,143,10,0,0,0,21,"Zone 0","%Infected",0
"267",0,0,0,0,743,39,0,483,43,21,"Zone 1","%Infected",0
"268",2000,288,2000,202,522,28,158,4063,398,21,"Zone 2","%Infected",10.0949525237381
"269",0,0,0,0,0,0,0,0,0,21,"Zone 3","%Infected",0
"270",1,0,1,0,1,0,0,54118,5211,21,"Collection Zone","%Infected",0
"271",0,0,0,0,143,10,0,0,0,22,"Zone 0","%Infected",0
"272",0,0,0,0,743,39,0,483,43,22,"Zone 1","%Infected",0
"273",2000,290,2000,202,574,30,156,4538,443,22,"Zone 2","%Infected",10.0949525237381
"274",0,0,0,0,0,0,0,0,0,22,"Zone 3","%Infected",0
"275",1,0,1,0,1,0,0,60131,5790,22,"Collection Zone","%Infected",0
"276",0,0,0,0,143,10,0,0,0,23,"Zone 0","%Infected",0
"277",0,0,0,0,743,39,0,483,43,23,"Zone 1","%Infected",0
"278",2000,297,2000,209,625,30,155,5030,483,23,"Zone 2","%Infected",10.4447776111944
"279",0,0,0,0,0,0,0,0,0,23,"Zone 3","%Infected",0
"280",1,0,1,0,1,0,0,66144,6369,23,"Collection Zone","%Infected",0
"281",0,0,0,0,143,10,0,0,0,24,"Zone 0","%Infected",0
"282",0,0,0,0,743,39,0,483,43,24,"Zone 1","%Infected",0
"283",2000,303,2000,211,685,32,155,5531,525,24,"Zone 2","%Infected",10.5447276361819
"284",0,0,0,0,0,0,0,0,0,24,"Zone 3","%Infected",0
"285",1,0,1,0,1,0,0,72157,6948,24,"Collection Zone","%Infected",0
"286",0,0,0,0,143,10,0,0,0,25,"Zone 0","%Infected",0
"287",0,0,0,0,743,39,0,0,0,25,"Zone 1","%Infected",0
"288",0,0,0,0,685,32,0,0,0,25,"Zone 2","%Infected",0
"289",2000,300,2000,296,72,1,153,474,63,25,"Zone 3","%Infected",14.7926036981509
"290",1,0,1,0,1,0,0,78171,7516,25,"Collection Zone","%Infected",0
"291",0,0,0,0,143,10,0,0,0,26,"Zone 0","%Infected",0
"292",0,0,0,0,743,39,0,0,0,26,"Zone 1","%Infected",0
"293",0,0,0,0,685,32,0,0,0,26,"Zone 2","%Infected",0
"294",2000,300,2000,296,135,8,153,977,140,26,"Zone 3","%Infected",14.7926036981509
"295",1,0,1,0,1,0,0,84185,8084,26,"Collection Zone","%Infected",0
"296",0,0,0,0,73,4,0,0,0,27,"Zone 0","%Infected",0
"297",0,0,0,0,743,39,0,0,0,27,"Zone 1","%Infected",0
"298",0,0,0,0,685,32,0,0,0,27,"Zone 2","%Infected",0
"299",2000,300,2000,296,214,14,153,1456,205,27,"Zone 3","%Infected",14.7926036981509
"300",1,0,1,0,71,6,0,90199,8652,27,"Collection Zone","%Infected",0
"301",0,0,0,0,0,0,0,0,0,28,"Zone 0","%Infected",0
"302",0,0,0,0,743,39,0,0,0,28,"Zone 1","%Infected",0
"303",0,0,0,0,685,32,0,0,0,28,"Zone 2","%Infected",0
"304",0,0,0,0,209,14,0,1456,205,28,"Zone 3","%Infected",0
"305",2001,300,2001,296,144,10,153,96213,9220,28,"Collection Zone","%Infected",14.7926036981509
"306",0,0,0,0,0,0,0,0,0,29,"Zone 0","%Infected",0
"307",0,0,0,0,689,35,0,0,0,29,"Zone 1","%Infected",0
"308",0,0,0,0,685,32,0,0,0,29,"Zone 2","%Infected",0
"309",0,0,0,0,209,14,0,1456,205,29,"Zone 3","%Infected",0
"310",2001,300,2001,296,198,14,153,102227,9788,29,"Collection Zone","%Infected",14.7926036981509
"311",0,0,0,0,0,0,0,0,0,30,"Zone 0","%Infected",0
"312",0,0,0,0,624,32,0,0,0,30,"Zone 1","%Infected",0
"313",0,0,0,0,685,32,0,0,0,30,"Zone 2","%Infected",0
"314",0,0,0,0,209,14,0,1456,205,30,"Zone 3","%Infected",0
"315",2001,300,2001,296,263,17,153,108241,10356,30,"Collection Zone","%Infected",14.7926036981509
"316",0,0,0,0,0,0,0,0,0,31,"Zone 0","%Infected",0
"317",0,0,0,0,550,29,0,0,0,31,"Zone 1","%Infected",0
"318",0,0,0,0,685,32,0,0,0,31,"Zone 2","%Infected",0
"319",0,0,0,0,209,14,0,1456,205,31,"Zone 3","%Infected",0
"320",2001,300,2001,296,337,20,153,114255,10924,31,"Collection Zone","%Infected",14.7926036981509
"321",0,0,0,0,0,0,0,0,0,32,"Zone 0","%Infected",0
"322",0,0,0,0,489,25,0,0,0,32,"Zone 1","%Infected",0
"323",0,0,0,0,685,32,0,0,0,32,"Zone 2","%Infected",0
"324",0,0,0,0,209,14,0,1456,205,32,"Zone 3","%Infected",0
"325",2001,300,2001,296,398,24,153,120269,11492,32,"Collection Zone","%Infected",14.7926036981509
"326",0,0,0,0,0,0,0,0,0,33,"Zone 0","%Infected",0
"327",0,0,0,0,418,19,0,0,0,33,"Zone 1","%Infected",0
"328",0,0,0,0,685,32,0,0,0,33,"Zone 2","%Infected",0
"329",0,0,0,0,209,14,0,1456,205,33,"Zone 3","%Infected",0
"330",2001,300,2001,296,469,30,153,126283,12060,33,"Collection Zone","%Infected",14.7926036981509
"331",2000,0,2000,187,70,6,187,488,42,1,"Zone 0","%Eggs Infected",8.45070422535211
"332",0,0,0,0,0,0,0,0,0,1,"Zone 1","%Eggs Infected",0
"333",0,0,0,0,0,0,0,0,0,1,"Zone 2","%Eggs Infected",0
"334",0,0,0,0,0,0,0,0,0,1,"Zone 3","%Eggs Infected",0
"335",1,0,1,0,1,0,0,1,0,1,"Collection Zone","%Eggs Infected",0
"336",2000,6,2000,186,143,10,186,998,80,2,"Zone 0","%Eggs Infected",6.94444444444444
"337",0,0,0,0,0,0,0,0,0,2,"Zone 1","%Eggs Infected",0
"338",0,0,0,0,0,0,0,0,0,2,"Zone 2","%Eggs Infected",0
"339",0,0,0,0,0,0,0,0,0,2,"Zone 3","%Eggs Infected",0
"340",1,0,1,0,1,0,0,1,0,2,"Collection Zone","%Eggs Infected",0
"341",0,0,0,0,143,10,0,998,80,3,"Zone 0","%Eggs Infected",6.94444444444444
"342",2000,6,2000,184,55,4,184,502,37,3,"Zone 1","%Eggs Infected",7.14285714285714
"343",0,0,0,0,0,0,0,0,0,3,"Zone 2","%Eggs Infected",0
"344",0,0,0,0,0,0,0,0,0,3,"Zone 3","%Eggs Infected",0
